序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
61,300111,向日葵,3.96,4.21,0.16,440002.0,168675469.8,6.32,3.99,3.75,3.77,3.8,1.37,3.42,-9731.63,7.43,5097354427.0,5097354427.0,1.28,1.02,29.84,22.22
62,301258,富士莱,37.83,4.13,1.5,49702.0,183935690.9,8.37,38.5,35.46,35.98,36.33,2.88,14.67,36.22,1.82,3467876100.0,1281377760.0,-0.68,-0.71,21.95,60.77
63,301083,百胜智能,17.71,4.12,0.7,68738.0,120144906.34,6.7,18.06,16.92,16.98,17.01,1.91,8.03,179.84,3.9,3150018673.0,1516151630.0,-0.11,0.06,20.48,26.95
64,300990,同飞股份,63.25,4.12,2.5,46170.0,284716311.95,6.04,63.67,60.0,60.11,60.75,1.37,5.94,43.36,5.7,10736645755.0,4916388978.0,0.13,0.13,33.13,55.02
65,300875,捷强装备,64.25,4.1,2.53,173061.0,1122356127.8,14.79,69.0,59.87,61.71,61.72,1.87,20.21,-309.57,6.67,6414382752.0,5502340445.0,0.37,0.31,123.48,128.16
66,300821,东岳硅材,11.32,4.04,0.44,525056.0,587722727.97,5.88,11.48,10.84,10.88,10.88,1.6,4.38,92.23,2.75,13584000000.0,13581532240.0,0.18,-0.09,48.75,46.06
67,301303,真兰仪表,18.13,4.02,0.7,66678.0,116376220.42,6.2,18.13,17.05,17.34,17.43,1.11,6.56,26.19,2.3,7411544000.0,1841640922.0,2.08,2.08,37.66,20.31
68,301005,超捷股份,47.72,3.94,1.81,130564.0,614866524.8,7.17,48.61,45.32,46.3,45.91,1.72,9.86,100.19,8.47,6407233218.0,6316781628.0,0.29,0.21,48.11,63.42
69,301068,大地海洋,34.86,3.94,1.32,23008.0,74678370.26,11.66,35.17,31.26,33.32,33.54,3.55,2.28,1684.76,5.8,4926266766.0,3513115049.0,4.12,6.44,18.41,49.81
70,300500,启迪设计,15.73,3.9,0.59,120706.0,186497440.27,7.0,15.9,14.84,15.15,15.14,0.95,7.2,41.75,2.51,2736624689.0,2636315832.0,0.32,0.64,36.43,50.38
71,300884,狄耐克,14.86,3.84,0.55,395453.0,595175157.76,10.48,15.88,14.38,14.7,14.31,5.24,20.66,-347.91,2.99,3772401505.0,2844350906.0,-0.27,-0.34,17.75,32.92
72,301306,西测测试,70.67,3.8,2.59,73623.0,520155620.61,6.73,72.8,68.22,68.22,68.08,1.7,12.63,-74.73,5.97,5964548000.0,4120061000.0,0.63,0.63,91.78,89.11
73,300829,金丹科技,18.44,3.77,0.67,126289.0,231398218.65,4.95,18.61,17.73,17.76,17.77,5.17,7.98,27.13,1.84,4190952973.0,2918027308.0,0.22,0.0,-2.74,-1.6
74,300941,创识科技,28.42,3.68,1.01,133841.0,376954510.49,5.11,28.9,27.5,27.8,27.41,4.87,11.26,479.8,4.6,5818995000.0,3379268107.0,-0.07,-0.04,23.35,-5.83
75,300553,集智股份,43.56,3.64,1.53,40050.0,171039356.03,7.04,44.11,41.15,41.8,42.03,1.77,4.71,143.47,5.83,4835721096.0,3705956037.0,-0.09,0.0,8.3,105.96
76,300992,泰福泵业,27.8,3.62,0.97,33465.0,91547230.56,4.21,27.83,26.7,26.76,26.83,2.33,4.33,30.33,3.07,2645942923.0,2149865823.0,0.14,0.04,18.55,4.0
77,300510,金冠股份,5.73,3.62,0.2,342215.0,191879699.6,6.69,5.78,5.41,5.51,5.53,1.54,4.15,-212.51,2.07,4725477711.0,4725477711.0,0.35,0.53,39.76,35.14
78,301489,思泉新材,133.5,3.57,4.6,82145.0,1099092627.61,8.99,139.59,128.0,129.0,128.9,1.52,17.26,152.08,10.39,10780641245.0,6354687042.0,-0.39,-0.4,158.22,174.92
79,300497,富祥药业,10.52,3.54,0.36,169347.0,175561164.2,4.82,10.56,10.07,10.12,10.16,2.1,3.74,646.11,2.65,5786050854.0,4767028887.0,-0.28,-0.28,24.06,26.14
80,300340,科恒股份,17.87,3.53,0.61,380212.0,693377495.53,10.78,18.88,17.02,17.25,17.26,3.5,13.9,532.72,88.48,4930214433.0,4886811723.0,0.0,0.0,80.14,87.51
81,300199,翰宇药业,23.99,3.49,0.81,1061610.0,2510661819.41,6.51,24.38,22.87,23.01,23.18,1.1,15.03,75.82,32.68,21188959651.0,16943732193.0,0.17,0.04,70.26,86.11
82,301252,同星科技,29.88,3.46,1.0,60230.0,176451519.69,6.16,30.18,28.4,28.91,28.88,2.17,12.73,35.0,4.08,5025816000.0,1413510750.0,2.05,2.36,25.86,29.69
83,300551,古鳌科技,11.72,3.44,0.39,284090.0,330546761.18,8.74,12.09,11.1,11.35,11.33,3.88,8.38,-19.73,7.28,3985536473.0,3973933896.0,0.17,0.09,36.44,17.55
84,300436,广生堂,120.49,3.4,3.96,102889.0,1215178230.42,13.1,124.4,109.13,116.0,116.53,1.21,7.53,-168.4,57.86,19190080830.0,16473370991.0,0.63,0.27,288.43,268.81
85,300335,迪森股份,6.18,3.34,0.2,362478.0,222539859.81,4.35,6.22,5.96,5.98,5.98,4.89,9.44,38.5,1.56,2947936558.0,2374115994.0,0.0,0.32,20.94,30.93
86,300649,杭州园林,17.06,3.33,0.55,76128.0,128872961.0,4.24,17.18,16.48,16.6,16.51,2.32,7.17,-63.61,4.67,2259027350.0,1810352847.0,-0.06,-0.18,48.09,60.04
